date,value
2000-10-31,88141
2000-10-31,143146
2000-10-31,212049.2255
2000-10-31,213382.3988
2000-10-31,166782.6006
2000-10-31,193975.1216
2000-10-31,163881.3386
2000-10-31,197217.9327
2000-11-30,112349
2000-11-30,178645
2000-11-30,87052.8133
2000-11-30,66168
2000-11-30,88041
2000-11-30,143653
2000-11-30,212337.8202
2000-11-30,213538.3963
2000-11-30,167022.3061
2000-11-30,194427.4396
2000-11-30,164015.1922
2000-11-30,196681.5582
2000-12-31,113642
2000-12-31,179329
2000-12-31,87528.7222
2000-12-31,67359
2000-12-31,88878
2000-12-31,144297
2000-12-31,212931.3704
2000-12-31,214170.2738
2000-12-31,167510.7559
2000-12-31,195373.9157
2000-12-31,164440.394
2000-12-31,196735.8174
2001-01-31,114866
2001-01-31,180587
2001-01-31,88017.3139
2001-01-31,67706
2001-01-31,89780
2001-01-31,145166
2001-01-31,212935.6004
2001-01-31,214166.1382
2001-01-31,167519.4179
2001-01-31,195646.4411
2001-01-31,164372.5664
2001-01-31,196392.8921
2001-02-28,115630
2001-02-28,181132
2001-02-28,88400.50477
2001-02-28,68030
2001-02-28,91599
2001-02-28,145769
2001-02-28,213137.243
2001-02-28,214236.1083
2001-02-28,167531.3117
2001-02-28,195806.4757
2001-02-28,164370.1236
2001-02-28,195906.4654
2001-03-31,115578
2001-03-31,182288
2001-03-31,88942.66948
2001-03-31,67101
2001-03-31,92236
2001-03-31,146372
2001-03-31,212256.7134
2001-03-31,213108.4106
2001-03-31,166664.3473
2001-03-31,194937.9038
2001-03-31,163568.251
2001-03-31,194921.1454
2001-04-30,115201
2001-04-30,182860
2001-04-30,89438.66739
2001-04-30,66310
2001-04-30,93078
2001-04-30,146659
2001-04-30,212177.1517
2001-04-30,212780.7843
2001-04-30,166536.9087
2001-04-30,194783.3497
2001-04-30,163517.4821
2001-04-30,194569.2849
2001-05-31,114949
2001-05-31,183580
2001-05-31,90108.79673
2001-05-31,65205
2001-05-31,92713
2001-05-31,147058
2001-05-31,212153.8545
2001-05-31,212854.9023
2001-05-31,166656.7983
2001-05-31,194847.1174
2001-05-31,163617.0636
2001-05-31,194513.0164
2001-06-30,115329
2001-06-30,184430
2001-06-30,90371.52991
2001-06-30,64725
2001-06-30,92546
2001-06-30,147536
2001-06-30,213017.9644
2001-06-30,213745.217
2001-06-30,167558.2161
2001-06-30,195608.6774
2001-06-30,164395.3727
2001-06-30,194204.3423
2001-07-31,115505
2001-07-31,190585.9446
2001-07-31,90674.0483
2001-07-31,64396
2001-07-31,91994
2001-07-31,167669.2996
2001-07-31,213941.1084
2001-07-31,214786.1842
2001-07-31,168309.012
2001-07-31,196445.6709
2001-07-31,165126.3583
2001-07-31,193885.4517
2001-08-31,116087
2001-08-31,190853.9644
2001-08-31,91110.06951
2001-08-31,64660
2001-08-31,91757
2001-08-31,167802.474
2001-08-31,215148.455
2001-08-31,216095.5475
2001-08-31,169320.57
2001-08-31,197584.105
2001-08-31,166218.4861
2001-08-31,194173.5686
2001-09-30,116552
2001-09-30,190887.3064
2001-09-30,91948.14202
2001-09-30,65188
2001-09-30,91769
2001-09-30,167918.2382
2001-09-30,215813.7418
2001-09-30,217181.7351
2001-09-30,170145.8211
2001-09-30,198534.6765
2001-09-30,167080.0449
2001-09-30,195825.831
2001-10-31,116304
2001-10-31,191272.388
2001-10-31,92747.44697
2001-10-31,65736
2001-10-31,91898
2001-10-31,168163.2715
2001-10-31,216089.5016
2001-10-31,217869.3995
2001-10-31,170995.2807
2001-10-31,199269.4349
2001-10-31,167839.442
2001-10-31,197104.9684
2001-11-30,115908
2001-11-30,190886.6601
2001-11-30,93399.51496
2001-11-30,66244
2001-11-30,92128
2001-11-30,168435.474
2001-11-30,216016.2952
2001-11-30,218064.8555
2001-11-30,171526.981
2001-11-30,199673.9629
2001-11-30,168335.7066
2001-11-30,197931.1728
2001-12-31,115251
2001-12-31,190486.6298
2001-12-31,93890.83918
2001-12-31,66513
2001-12-31,92374
2001-12-31,168732.2089
2001-12-31,216553.4358
2001-12-31,218558.4979
2001-12-31,172277.156
2001-12-31,200327.5363
2001-12-31,169174.3729
2001-12-31,198836.4847
2002-01-31,115744
2002-01-31,189876.668
2002-01-31,94596.88639
2002-01-31,66638
2002-01-31,92201
2002-01-31,169050.1252
2002-01-31,216582.0331
2002-01-31,218586.8913
2002-01-31,172488.65
2002-01-31,200498.6816
2002-01-31,169522.4181
2002-01-31,199803.2866
2002-02-28,116399
2002-02-28,190353.0456
2002-02-28,95535.36177
2002-02-28,66533
2002-02-28,92276
2002-02-28,169403.6921
2002-02-28,216484.0115
2002-02-28,218482.241
2002-02-28,172543.2479
2002-02-28,200528.9339
2002-02-28,169704.2207
2002-02-28,200372.7877
2002-03-31,116940
2002-03-31,190379.0088
2002-03-31,96614.16391
2002-03-31,66689
2002-03-31,92790
2002-03-31,169713.5516
2002-03-31,216011.4948
2002-03-31,218295.9616
2002-03-31,172308.7255
2002-03-31,200339.7809
2002-03-31,169523.7455
2002-03-31,200170.7643
2002-04-30,116345
2002-04-30,190686.3056
2002-04-30,97645.89841
2002-04-30,66828
2002-04-30,92896
2002-04-30,169991.6075
2002-04-30,215887.847
2002-04-30,218746.8812
2002-04-30,172408.1216
2002-04-30,200513.0808
2002-04-30,169706.2663
2002-04-30,200177.9227
2002-05-31,115406
2002-05-31,190271.0908
2002-05-31,98297.82514
2002-05-31,67132
2002-05-31,93018
2002-05-31,170209.9446
2002-05-31,215785.9909
2002-05-31,219203.8927
2002-05-31,172483.4624
2002-05-31,200781.6587
2002-05-31,169914.0815
2002-05-31,200609.695
2002-06-30,114475
2002-06-30,189950.9105
2002-06-30,98688.71234
2002-06-30,67356
2002-06-30,92656
2002-06-30,170380.5071
2002-06-30,215831.6848
2002-06-30,219751.6259
2002-06-30,172687.2834
2002-06-30,201409.135
2002-06-30,170286.2089
2002-06-30,201326.9965
2002-07-31,114522
2002-07-31,189692.8356
2002-07-31,99049.68565
2002-07-31,67616
2002-07-31,92771
2002-07-31,170602.5138
2002-07-31,216347.9938
2002-07-31,220446.7243
2002-07-31,173222.8594
2002-07-31,202486.0205
2002-07-31,170951.9393
2002-07-31,202714.9992
2002-08-31,114465
2002-08-31,187748.0189
2002-08-31,99565.32885
2002-08-31,67611
2002-08-31,92951
2002-08-31,170830.9446
2002-08-31,216996.6939
2002-08-31,221336.9057
2002-08-31,174179.3844
2002-08-31,203939.9171
2002-08-31,171852.3892
2002-08-31,203366.5287
2002-09-30,114855
2002-09-30,185951.5656
2002-09-30,100353.1936
2002-09-30,67670
2002-09-30,93304
2002-09-30,171248.7975
2002-09-30,217682.6372
2002-09-30,221985.4665
2002-09-30,175037.0629
2002-09-30,204996.4594
2002-09-30,172617.9513
2002-09-30,203984.5578
2002-10-31,115068
2002-10-31,183352.1881
2002-10-31,101100.8654
2002-10-31,67229
2002-10-31,93404
2002-10-31,171705.649
2002-10-31,218265.5559
2002-10-31,222625.3387
2002-10-31,175719.8538
2002-10-31,205847.1383
2002-10-31,173176.5058
2002-10-31,204093.8626
2002-11-30,116332
2002-11-30,183198.7774
2002-11-30,101940.1601
2002-11-30,66996
2002-11-30,93522
2002-11-30,172051.0169
2002-11-30,218957.1573
2002-11-30,223361.5267
2002-11-30,176260.1742
2002-11-30,206283.8893
2002-11-30,173653.3612
2002-11-30,204531.6415
2002-12-31,117411
2002-12-31,184229.5466
2002-12-31,102450.5257
2002-12-31,66898
2002-12-31,93521
2002-12-31,172214.3468
2002-12-31,219878.7572
2002-12-31,224467.7797
2002-12-31,177159.2542
2002-12-31,206948.8842
2002-12-31,174358.9421
2002-12-31,204701.0569
2003-01-31,117472
2003-01-31,185958.3765
2003-01-31,102997.5118
2003-01-31,67053
2003-01-31,93258
2003-01-31,172265.4463
2003-01-31,220319.7299
2003-01-31,225034.2034
2003-01-31,177720.0121
2003-01-31,207117.8116
2003-01-31,174668.4356
2003-01-31,204529.385
2003-02-28,117153
2003-02-28,187242.2213
2003-02-28,103493.1205
2003-02-28,66957
2003-02-28,92593
2003-02-28,172447.4421
2003-02-28,220769.3908
2003-02-28,225478.5245
2003-02-28,178155.0415
2003-02-28,207336.534
2003-02-28,174867.9393
2003-02-28,203984.6786
2003-03-31,116601
2003-03-31,187130.3942
2003-03-31,104243.6026
2003-03-31,66912
2003-03-31,91988
2003-03-31,172677.4768
2003-03-31,220864.2803
2003-03-31,225607.8204
2003-03-31,178284.9216
2003-03-31,207291.9277
2003-03-31,174871.5658
2003-03-31,204123.1451
2003-04-30,117349
2003-04-30,187674.9998
2003-04-30,104904.3679
2003-04-30,67016
2003-04-30,92211
2003-04-30,172946.2795
2003-04-30,221619.8758
2003-04-30,226217.4976
2003-04-30,178660.5243
2003-04-30,207699.7991
2003-04-30,175233.0654
2003-04-30,205053.6148
2003-05-31,118449
2003-05-31,187798.6722
2003-05-31,105402.5717
2003-05-31,67408
2003-05-31,93506
2003-05-31,173251.1558
2003-05-31,222351.3003
2003-05-31,226805.5053
2003-05-31,179116.2877
2003-05-31,208231.6008
2003-05-31,175630.9139
2003-05-31,206692.2151
2003-06-30,119198
2003-06-30,187587.5593
2003-06-30,105930.227
2003-06-30,67489
2003-06-30,94665
2003-06-30,173647.6849
2003-06-30,223526.0022
2003-06-30,227831.6802
2003-06-30,179809.5304
2003-06-30,209225.4457
2003-06-30,176257.8176
2003-06-30,208445.8232
2003-07-31,119246
2003-07-31,187252.1191
2003-07-31,106512.9877
2003-07-31,67221
2003-07-31,95785
2003-07-31,174129.3526
2003-07-31,224940.1701
2003-07-31,229199.3339
2003-07-31,181021.8611
2003-07-31,210625.7888
2003-07-31,177295.4038
2003-07-31,210623.2509
2003-08-31,120349
2003-08-31,187261.6853
2003-08-31,107693.8571
2003-08-31,67070
2003-08-31,96316
2003-08-31,174844.272
2003-08-31,227246.9252
2003-08-31,231519.7852
2003-08-31,182825.5675
2003-08-31,212594.8558
2003-08-31,178909.0531
2003-08-31,213182.0947
2003-09-30,121293
2003-09-30,187842.6932
2003-09-30,109183.0383
2003-09-30,67081
2003-09-30,97099
2003-09-30,175791.166
2003-09-30,229936.0874
2003-09-30,234032.4649
2003-09-30,184900.1455
2003-09-30,214821.5563
2003-09-30,180740.6937
2003-09-30,215609.5454
2003-10-31,123431
2003-10-31,187972.1718
2003-10-31,110855.4365
2003-10-31,67856
2003-10-31,98432
2003-10-31,176989.5251
2003-10-31,232653.1736
2003-10-31,236611.2438
2003-10-31,186919.7194
2003-10-31,217062.6598
2003-10-31,182586.8505
2003-10-31,218009.1958
2003-11-30,124429
2003-11-30,187443.8276
2003-11-30,112280.7762
2003-11-30,68442
2003-11-30,99281
2003-11-30,177944.4088
2003-11-30,234976.1298
2003-11-30,238871.2961
2003-11-30,188801.1065
2003-11-30,219273.0717
2003-11-30,184312.4876
2003-11-30,220720.3988
2003-12-31,125678
2003-12-31,186538.8216
2003-12-31,113526.8314
2003-12-31,68834
2003-12-31,99923
2003-12-31,178653.275
2003-12-31,237053.5978
2003-12-31,241011.7017
2003-12-31,190537.8225
2003-12-31,221305.685
2003-12-31,185960.474
2003-12-31,223576.827
2004-01-31,126585
2004-01-31,186719.6614
2004-01-31,114825.6624
2004-01-31,69030
2004-01-31,100268
2004-01-31,179218.8599
2004-01-31,238135.6618
2004-01-31,242194.4781
2004-01-31,191501.6262
2004-01-31,222420.8253
2004-01-31,186928.1588
2004-01-31,225749.6197
2004-02-29,127084
2004-02-29,188163.989
2004-02-29,116276.7978
2004-02-29,69411
2004-02-29,101172
2004-02-29,180262.4473
2004-02-29,239045.3175
2004-02-29,243031.4654
2004-02-29,192196.4481
2004-02-29,223206.245
2004-02-29,187668.1443
2004-02-29,227798.127
2004-03-31,128265
2004-03-31,190448.1855
2004-03-31,117819.6303
2004-03-31,69950
2004-03-31,102306
2004-03-31,181714.2689
2004-03-31,239915.2057
2004-03-31,243893.4225
2004-03-31,192734.225
2004-03-31,224002.6372
2004-03-31,188367.6
2004-03-31,229019.3487
2004-04-30,129993
2004-04-30,191726.8365
2004-04-30,119302.3448
2004-04-30,70565
2004-04-30,103295
2004-04-30,183455.2573
2004-04-30,241655.0866
2004-04-30,245526.2471
2004-04-30,193971.3332
2004-04-30,225794.0368
2004-04-30,189730.9041
2004-04-30,230449.4811
2004-05-31,131935
2004-05-31,192581.7457
2004-05-31,120432.7555
2004-05-31,71169
2004-05-31,103976
2004-05-31,185442.1142
2004-05-31,243603.8513
2004-05-31,247381.4529
2004-05-31,195353.6614
2004-05-31,227808.3806
2004-05-31,191169.8438
2004-05-31,231175.4768
2004-06-30,134329
2004-06-30,194164.1274
2004-06-30,121661.166
2004-06-30,71884
2004-06-30,104916
2004-06-30,187632.7014
2004-06-30,246090.3593
2004-06-30,249567.4639
2004-06-30,197082.0982
2004-06-30,230200.2471
2004-06-30,192903.9466
2004-06-30,231903.2766
2004-07-31,136060
2004-07-31,196625.4055
2004-07-31,122898.9508
2004-07-31,72782
2004-07-31,106200
2004-07-31,190101.5387
2004-07-31,249465.1238
2004-07-31,252461.2095
2004-07-31,199247.2382
2004-07-31,233103.8527
2004-07-31,195055.9748
2004-07-31,233320.9038
2004-08-31,137025
2004-08-31,199437.3615
2004-08-31,124703.5164
2004-08-31,73512
2004-08-31,107291
2004-08-31,191935.4191
2004-08-31,253420.9222
2004-08-31,256153.9833
2004-08-31,201803.3568
2004-08-31,236740.9685
2004-08-31,197685.171
2004-08-31,235960.3739
2004-09-30,137759
2004-09-30,202363.6615
2004-09-30,126538.4459
2004-09-30,74316
2004-09-30,107812
2004-09-30,193440.6969
2004-09-30,256591.7026
2004-09-30,259289.9909
2004-09-30,203899.2997
2004-09-30,239798.5182
2004-09-30,199772.1789
2004-09-30,238153.4182
2004-10-31,137723
2004-10-31,205194.1429
2004-10-31,128809.7663
2004-10-31,74675
2004-10-31,107239
2004-10-31,194612.5818
2004-10-31,259263.7749
2004-10-31,262307.5584
2004-10-31,205740.8638
2004-10-31,242596.5353
2004-10-31,201618.4691
2004-10-31,239326.8778
2004-11-30,138341
2004-11-30,208750.5974
2004-11-30,131141.3071
2004-11-30,75386
2004-11-30,107661
2004-11-30,196301.851
2004-11-30,261565.9987
2004-11-30,264754.4388
2004-11-30,207290.59
2004-11-30,244754.2955
2004-11-30,203148.8158
2004-11-30,239054.5599
2004-12-31,138926
2004-12-31,212802.8791
2004-12-31,133510.1035
2004-12-31,75994
2004-12-31,108204
2004-12-31,198137.3127
2004-12-31,264529.468
2004-12-31,267801.1845
2004-12-31,209349.5635
2004-12-31,247412.847
2004-12-31,205267.5799
2004-12-31,239593.765
2005-01-31,164988
2005-01-31,155340
2005-01-31,140782
2005-01-31,218235.0274
2005-01-31,131793
2005-01-31,135736.1458
2005-01-31,93232
2005-01-31,226375
2005-01-31,106813
2005-01-31,135769
2005-01-31,148428
2005-01-31,168314
2005-01-31,76841
2005-01-31,109955
